State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow,Latitude,Longitude
MT,Wheatland County,617,30591,28,927,34,872,6,0.972,46.497046999999995,-109.857147
NC,Lee County,20169,1149838,1747,77209,1943,105291,196,0.972,35.476335999999996,-79.172117
TX,Upshur County,12160,696967,1203,50448,1321,64658,118,0.97,32.735349,-94.94118399999999
GA,Warren County,1757,68929,114,4387,131,4725,17,0.968,33.419169000000004,-82.688012
NM,Taos County,12085,572438,702,35833,819,49448,117,0.968,36.576529,-105.63798600000001
IN,Ripley County,10540,650165,705,34189,807,34871,102,0.968,39.100226,-85.260494
VA,Clarke County,5489,545020,518,34634,571,43132,53,0.966,39.115307,-77.990748
UT,San Juan County,3417,167736,325,13925,358,14431,33,0.966,37.602633000000004,-109.791574
TN,Sullivan County,55730,3363738,3328,156869,3866,183613,538,0.965,36.509681,-82.30133599999999
GA,Chattooga County,7167,323733,323,11470,392,15616,69,0.963,34.474178,-85.34528900000001
AL,Colbert County,18544,1220340,1132,48151,1310,58281,178,0.96,34.703112,-87.801457
CO,Morgan County,9907,563325,686,31318,781,37270,95,0.9590000000000001,40.263159,-103.81221
TX,Floyd County,1879,94103,115,4912,133,5699,18,0.958,34.07373,-101.303274
GA,Turner County,2613,109619,157,4667,182,5715,25,0.9570000000000001,31.7248,-83.620319
NM,Valencia County,23866,1194664,1478,64182,1706,71704,228,0.955,34.716840000000005,-106.806582
SC,Aiken County,57444,3725747,3550,190787,4098,246733,548,0.9540000000000001,33.550013,-81.632983
ME,Oxford County,20688,1037441,1302,53318,1499,71651,197,0.9520000000000001,44.4945,-70.734421
OK,McClain County,12847,964794,1284,75029,1406,77973,122,0.95,35.016436,-97.449803
OR,Lake County,2429,125297,183,8812,206,7900,23,0.9470000000000001,42.788401,-120.38978999999999
GA,Quitman County,635,24467,51,1711,57,2436,6,0.945,31.862938,-85.004798
TX,Upton County,1061,89331,84,5085,94,4374,10,0.943,31.353816,-102.041546
IN,Harrison County,14526,881057,928,44678,1065,50439,137,0.943,38.186454,-86.10376600000001
AL,Randolph County,7005,338958,412,22063,478,25455,66,0.9420000000000001,33.296475,-85.46406800000001
IN,Boone County,23604,3072365,2267,214687,2489,251281,222,0.941,40.050892,-86.469014
AR,Montgomery County,2458,106907,159,5721,182,10323,23,0.9359999999999999,34.545656,-93.664153
TN,Monroe County,14645,754925,1070,50154,1207,65187,137,0.935,35.447818,-84.249705
KY,Clark County,12415,737988,970,46580,1086,43758,116,0.934,37.970314,-84.145115
AR,Cleburne County,8137,429677,590,24650,666,34618,76,0.934,35.566315,-92.05995
MD,Charles County,60779,5020214,5164,324951,5731,325012,567,0.9329999999999999,38.472853,-77.015427
MN,Otter Tail County,22943,1440400,1252,64218,1466,88846,214,0.9329999999999999,46.405727,-95.71458100000001
TN,Bedford County,16189,930060,1143,41716,1294,53168,151,0.9329999999999999,35.513659999999994,-86.458294
NM,Santa Fe County,60324,4759754,3946,285441,4508,369257,562,0.932,35.51453,-105.963972
MO,Wright County,5377,210712,420,13723,470,17239,50,0.93,37.267633000000004,-92.479989
AR,Garland County,33487,1977673,2219,110569,2530,126788,311,0.929,34.578852000000005,-93.14693199999999
TX,Cass County,9708,504054,603,28691,693,27761,90,0.927,33.083698,-94.357579
SD,Mellette County,541,18991,25,589,30,1203,5,0.924,43.58469,-100.76095500000001
GA,Wayne County,8129,417339,468,16659,543,18140,75,0.9229999999999999,31.547845000000002,-81.912376
KS,Jefferson County,6752,430067,536,26805,598,31464,62,0.9179999999999999,39.239644,-95.375314
TN,Bradley County,35290,1973216,2358,100377,2681,124965,323,0.915,35.153914,-84.859414
TX,Somervell County,2846,211425,265,11385,291,19410,26,0.914,32.218071,-97.769217
TX,Camp County,3954,199415,330,12570,366,19085,36,0.91,32.974581,-94.979085
OR,Marion County,115501,7687968,7622,385658,8671,436106,1049,0.9079999999999999,44.900898,-122.57626
CO,Garfield County,20507,1744781,1783,103382,1969,114708,186,0.907,39.599352,-107.90978
MI,Otsego County,9521,533695,697,28976,783,36358,86,0.903,45.021786999999996,-84.576603
TX,Trinity County,4333,198603,435,18129,474,22713,39,0.9,31.096675,-95.151687
IA,Guthrie County,4032,280275,294,13259,330,18268,36,0.893,41.683572999999996,-94.501272
KY,Jessamine County,16789,1272189,1593,80921,1743,104741,150,0.893,37.873290999999995,-84.58396
MI,Oscoda County,2807,123042,208,6632,233,11444,25,0.8909999999999999,44.687257,-84.12690500000001
CO,Jefferson County,222725,21708928,25086,1630334,27058,1775195,1972,0.885,39.579511,-105.24546200000002
CO,San Miguel County,3165,330137,381,31854,409,71277,28,0.885,38.009319,-108.42726299999998
WI,Bayfield County,6235,392425,392,21626,447,34571,55,0.882,46.634199,-91.17728199999999
WI,Waushara County,9092,486206,622,24285,702,34687,80,0.88,44.112823,-89.239786
CO,Adams County,169932,11285903,20468,1086773,21963,1163226,1495,0.88,39.874325,-104.331872
OK,Beaver County,1709,87103,114,4826,129,5373,15,0.878,36.748334,-100.483056
CA,Riverside County,770647,49841912,48974,2874504,55724,3363745,6750,0.8759999999999999,33.729828000000005,-116.00223899999999
KY,Barren County,14511,746009,873,34098,1000,36326,127,0.875,36.962804999999996,-85.932108
NC,Durham County,107662,8191636,12524,773489,13466,839397,942,0.875,36.033828,-78.878125
MN,Dakota County,166882,15635839,13379,886134,14827,862709,1448,0.868,44.670893,-93.062481
MN,Carlton County,12802,815258,733,36958,844,44944,111,0.867,46.603818,-92.671044
TX,Sherman County,807,48828,50,2337,57,3052,7,0.867,36.278593,-101.899265
SC,Dorchester County,51241,3294567,6621,327729,7065,361485,444,0.866,33.082186,-80.404697
OH,Miami County,41095,2793241,2408,117118,2763,142429,355,0.8640000000000001,40.053326,-84.228413
VA,Surry County,2431,135673,163,8217,184,8871,21,0.8640000000000001,37.119761,-76.880172
MI,Montmorency County,3479,146749,259,9038,289,12937,30,0.862,45.024134000000004,-84.130107
NC,Polk County,7081,465875,580,30245,641,45554,61,0.861,35.277901,-82.167621
MN,Kittson County,1748,107957,57,2432,72,3034,15,0.858,48.77604,-96.780349
NV,Pershing County,1523,89418,132,7111,145,5868,13,0.8540000000000001,40.439639,-118.409477
KY,Edmonson County,3747,180155,277,9452,309,11921,32,0.8540000000000001,37.227514,-86.21801500000001
IN,Johnson County,55788,4355702,5396,306778,5869,299139,473,0.848,39.496092,-86.094264
VA,Fauquier County,25932,2778605,2269,190114,2489,204330,220,0.848,38.744096,-77.8215
NC,Madison County,6968,347819,539,21670,598,28089,59,0.847,35.864207,-82.71263
TX,Cottle County,476,21103,25,678,29,1064,4,0.84,34.091906,-100.276442
IN,Carroll County,7507,443452,561,23900,624,28325,63,0.8390000000000001,40.58498,-86.565141
NM,Otero County,20042,936550,2222,98530,2390,104026,168,0.838,32.615598999999996,-105.75130800000001
CO,El Paso County,244110,18326043,25403,1376039,27445,1517081,2042,0.8370000000000001,38.827383000000005,-104.527472
FL,Jefferson County,4544,250563,352,14751,390,22139,38,0.836,30.424558,-83.89085899999999
MO,Bates County,5507,284690,361,14208,407,16879,46,0.835,38.257217,-94.339246
OK,Noble County,3599,216241,299,12758,329,14404,30,0.8340000000000001,36.384901,-97.236335
IA,Dickinson County,7095,588907,491,33896,550,37610,59,0.8320000000000001,43.389611,-95.196057
FL,Hillsborough County,497009,36158653,39799,2314898,43929,2724138,4130,0.831,27.906607,-82.349719
GA,Wilkinson County,3010,135529,179,5730,204,7365,25,0.831,32.804266,-83.175512
OK,Delaware County,11878,598520,1143,48080,1241,62690,98,0.825,36.393375,-94.808217
MN,Cook County,2425,143265,141,6731,161,14284,20,0.825,47.538569,-90.290189
WI,Langlade County,7784,410311,404,18496,468,26004,64,0.8220000000000001,45.262381,-89.067725
OK,Rogers County,30185,2339311,2657,138145,2905,177085,248,0.8220000000000001,36.377794,-95.601383
FL,Okeechobee County,11734,570870,896,35677,992,42857,96,0.818,27.385592,-80.887388
MO,Douglas County,3926,145838,309,10683,341,12250,32,0.815,36.946517,-92.51589200000001
IN,Crawford County,3567,167219,280,10429,309,12948,29,0.813,38.289433,-86.440871
PA,Carbon County,24844,1437098,1535,67008,1737,79594,202,0.813,40.918366999999996,-75.705039
GA,Gordon County,17401,1024588,1073,41253,1214,45496,141,0.81,34.509667,-84.873862
AR,Jackson County,4328,205318,291,10427,326,10000,35,0.809,35.596467,-91.22320500000001
KY,Spencer County,6435,470434,584,35499,636,40278,52,0.8079999999999999,38.025411,-85.317174
CA,Inyo County,6580,459082,483,28213,536,26817,53,0.805,36.561977,-117.403927
VA,Chesterfield County,126776,10815605,10288,638786,11302,685686,1014,0.8,37.378434000000006,-77.585847
MO,Ralls County,3634,220110,255,11059,284,13054,29,0.7979999999999999,39.553455,-91.524787
GA,Meriwether County,6643,309479,539,20856,592,24956,53,0.7979999999999999,33.029267,-84.667058
MN,Washington County,98540,11025279,8336,641259,9116,652298,780,0.792,45.037929,-92.890117
AR,Searcy County,2282,78218,133,3396,151,6334,18,0.789,35.896387,-92.695888
VA,Greene County,7118,470463,581,29249,637,36966,56,0.787,38.297981,-78.470163
SD,Jones County,381,18013,20,682,23,773,3,0.787,43.951991,-100.686138
CO,Larimer County,127102,11184048,12284,682153,13283,846664,999,0.7859999999999999,40.658093,-105.486764
AZ,Cochise County,40799,2209184,3694,194275,4014,195135,320,0.784,31.840128999999997,-109.77516299999999
FL,Union County,3444,170823,331,12136,358,12655,27,0.784,30.05428,-82.366918
MS,Lamar County,17752,1303142,2117,104460,2256,98316,139,0.7829999999999999,31.197585999999998,-89.50636899999999
AL,Morgan County,40420,2508187,2215,96718,2531,111968,316,0.782,34.454484,-86.846402
ID,Franklin County,4231,230370,267,11303,300,15226,33,0.78,42.173609,-111.822965
AR,Little River County,3847,189179,240,9330,270,10176,30,0.78,33.699496999999994,-94.229774
WA,Benton County,68388,5414669,5338,331343,5870,324704,532,0.778,46.228125,-119.516659
OH,Licking County,65203,4386710,4128,219317,4634,253824,506,0.7759999999999999,40.091505,-82.483435
NC,Greene County,5799,271333,400,13537,445,13864,45,0.7759999999999999,35.481959,-77.681688
CO,Alamosa County,5030,269409,484,20684,523,21542,39,0.775,37.568442,-105.78804099999999
TX,McCulloch County,2719,140137,188,8121,209,9485,21,0.772,31.205477000000002,-99.35985600000001
TX,Live Oak County,3532,235586,265,14984,292,13533,27,0.764,28.351535,-98.126961
TX,Brazoria County,114621,9458165,10000,644383,10875,671446,875,0.763,29.167817,-95.434647
TN,Claiborne County,9694,458725,569,23805,643,22687,74,0.763,36.501571999999996,-83.660698
NC,Beaufort County,16018,886734,935,40788,1057,61236,122,0.762,35.482313,-76.842014
MS,George County,6846,396714,400,17954,452,19713,52,0.76,30.855431,-88.642268
VA,Albemarle County,37574,4865173,4223,322856,4508,417727,285,0.759,38.024184000000005,-78.553506
MO,St. Francois County,20211,1064217,1274,46079,1427,54702,153,0.757,37.810707,-90.47386800000001
NE,Fillmore County,2256,147708,88,3742,105,4458,17,0.754,40.525040000000004,-97.596705
IA,Fremont County,2528,155351,157,6639,176,7470,19,0.752,40.74259,-95.599182
MI,Iron County,4527,216827,198,8795,232,10673,34,0.7509999999999999,46.170254,-88.540526
SD,Minnehaha County,75524,5945477,6049,325117,6616,379767,567,0.7509999999999999,43.667472,-96.795726
WY,Park County,11611,942744,917,49507,1004,65083,87,0.7490000000000001,44.492387,-109.593597
IA,Iowa County,6407,425625,364,17052,412,19900,48,0.7490000000000001,41.683918,-92.059123
PA,Perry County,18446,1087584,947,46436,1085,50818,138,0.748,40.39778,-77.266328
GA,Pike County,5746,391483,503,23863,546,28299,43,0.748,33.081224,-84.389848
TX,San Jacinto County,7762,437879,841,38880,899,48439,58,0.747,30.574388,-95.163136
ID,Bear Lake County,2011,107171,119,6313,134,6926,15,0.746,42.285892,-111.32751699999999
MN,Le Sueur County,10992,777339,874,50980,956,56390,82,0.746,44.373424,-93.730143
GA,Catoosa County,20256,1200312,1932,82944,2083,89570,151,0.745,34.900218,-85.139386
NC,Caswell County,7252,354399,465,17775,519,19333,54,0.745,36.394298,-79.339609
CA,Tuolumne County,19362,1285160,1228,66550,1372,89474,144,0.7440000000000001,38.021434,-119.96473300000001
WA,Kittitas County,14140,1003595,1532,69628,1637,112139,105,0.743,47.124441,-120.676709
OR,Lane County,133608,9198152,8128,385498,9119,462384,991,0.742,43.928329,-122.89769
KY,Hancock County,2972,173163,166,8363,188,7828,22,0.74,37.843325,-86.792761
AR,Independence County,11436,633574,691,29260,775,31795,84,0.735,35.737499,-91.559942
AR,Conway County,6395,362676,421,17130,468,19374,47,0.735,35.265702000000005,-92.68924799999999
TX,Galveston County,111504,9271001,9342,601414,10160,722019,818,0.7340000000000001,29.233453000000004,-94.888456
OK,Murray County,4360,248522,302,18109,334,13484,32,0.7340000000000001,34.485766,-97.071557
OR,Clackamas County,151190,15315364,13830,975799,14936,1068186,1106,0.732,45.160493,-122.195127
TN,Trousdale County,2869,146630,284,10821,305,13203,21,0.732,36.393029999999996,-86.15669100000001
OH,Lorain County,119541,7990728,5757,339957,6630,390803,873,0.73,41.438805,-82.179722
VA,King George County,8788,757380,1029,57209,1093,62557,64,0.728,38.27718,-77.16263599999999
IL,Putnam County,2346,161095,145,6391,162,7221,17,0.725,41.198961,-89.29834699999999
NE,Cass County,9825,758723,809,43066,880,52514,71,0.723,40.909878000000006,-96.140609
MS,Jackson County,46533,2811640,3435,154034,3771,174613,336,0.722,30.456004999999998,-88.625101
NM,Colfax County,4167,215435,315,12749,345,19155,30,0.72,36.612964,-104.64010999999999
MI,Cheboygan County,10017,564414,693,32862,765,50543,72,0.7190000000000001,45.476022,-84.49543100000001
ME,Somerset County,17527,872431,1174,54012,1300,54618,126,0.7190000000000001,45.503646,-69.95611
NH,Merrimack County,59085,4896308,4614,382389,5038,310543,424,0.718,43.299579,-71.680041
MI,Wexford County,11997,599648,936,37613,1022,41370,86,0.7170000000000001,44.331375,-85.57004599999999
MI,Keweenaw County,838,46830,48,1810,54,2934,6,0.716,47.681974,-88.148797
TX,Coryell County,19029,952038,3700,141470,3836,147831,136,0.715,31.391177000000003,-97.798022
VA,Appomattox County,5591,307724,345,14219,385,16535,40,0.715,37.370725,-78.81094
AR,Van Buren County,4905,232047,361,14315,396,19359,35,0.7140000000000001,35.582953,-92.515976
PA,Pike County,20866,1412351,1693,105559,1842,135397,149,0.7140000000000001,41.325949,-75.031514
ID,Twin Falls County,28464,1526081,2093,92958,2296,111399,203,0.713,42.352309000000005,-114.66563899999998
TX,Lamar County,16471,888008,926,37281,1043,47176,117,0.71,33.667263,-95.570348
IL,Macoupin County,16863,993915,936,36329,1055,50634,119,0.706,39.265914,-89.92633000000001
CA,Siskiyou County,15015,790779,963,34321,1069,54925,106,0.706,41.587986,-122.53328700000002
VA,Isle of Wight County,13612,1065565,1247,72982,1343,94258,96,0.705,36.901418,-76.70756899999999
MO,Dallas County,5114,219918,446,16680,482,17236,36,0.7040000000000001,37.683583,-93.033815
GA,Douglas County,44581,2624737,5832,259275,6146,246640,314,0.7040000000000001,33.701242,-84.767314
PA,Cumberland County,100036,8102192,6568,416279,7272,422643,704,0.7040000000000001,40.164805,-77.263442
AL,Henry County,5423,369684,403,15874,441,18723,38,0.701,31.516978,-85.239971
MN,Traverse County,1285,74195,66,3499,75,2780,9,0.7,45.769935,-96.47483199999999
GA,Clayton County,88128,3351095,13018,416528,13634,400093,616,0.6990000000000001,33.542685999999996,-84.35557299999999
NM,Lincoln County,6869,355920,590,28527,638,41803,48,0.6990000000000001,33.740840999999996,-105.449805
MI,Newaygo County,16906,918224,1255,50016,1373,66265,118,0.698,43.562712,-85.791372
MI,Leelanau County,9178,817581,778,45447,842,108240,64,0.6970000000000001,45.146182,-86.051574
MI,Luce County,2008,98538,86,3532,100,4685,14,0.6970000000000001,46.940602,-85.582368
TN,Anderson County,26576,1643811,2361,110876,2546,117989,185,0.696,36.116731,-84.195418
TX,San Saba County,1868,96207,112,4640,125,6532,13,0.696,31.155138,-98.819292
AL,Shelby County,71240,6883125,6059,421656,6554,419442,495,0.695,33.263042999999996,-86.678089
SD,Miner County,864,47898,30,1696,36,1480,6,0.6940000000000001,44.021541,-97.608122
WI,Lincoln County,11550,659114,618,30590,698,33269,80,0.693,45.338417,-89.74230899999999
NC,Davie County,15019,1171960,1029,63571,1133,70038,104,0.6920000000000001,35.929355,-80.542552
TN,Henderson County,9136,451933,510,17509,573,21262,63,0.69,35.653994,-88.387674
GA,Dade County,4643,252501,359,17201,391,17362,32,0.6890000000000001,34.852424,-85.506201
KY,Larue County,4798,236835,371,13585,404,14669,33,0.688,37.544462,-85.696841
MO,Monroe County,3061,149896,212,8282,233,8045,21,0.6859999999999999,39.49827,-92.006458
NC,Rockingham County,31670,1659816,1578,66782,1795,78803,217,0.685,36.381806,-79.782754
OH,Clermont County,76483,5785670,5321,335391,5843,327854,522,0.6829999999999999,39.052054,-84.149485
SC,Cherokee County,17862,884022,1013,36954,1135,43235,122,0.6829999999999999,35.049796,-81.607647
AR,Greene County,13329,746478,923,40080,1014,35199,91,0.6829999999999999,36.120607,-90.566346
KY,Hardin County,37070,2239849,3474,169880,3727,171213,253,0.682,37.695836,-85.963183
VA,Amelia County,4836,286419,318,13375,351,16736,33,0.682,37.331927,-77.977462
IL,Scott County,1907,113752,95,3316,108,3717,13,0.682,39.637002,-90.47777099999999
NE,Hamilton County,3538,274230,230,11803,254,15817,24,0.6779999999999999,40.872817,-98.022329
TN,Wayne County,4579,211430,222,6809,253,11177,31,0.677,35.242847,-87.819843
SD,McCook County,2070,135214,121,5390,135,6411,14,0.6759999999999999,43.680415999999994,-97.358048
WI,Buffalo County,5344,281988,283,12005,319,13067,36,0.674,44.385633,-91.76129399999999
KY,Anderson County,8306,494447,612,27138,668,29350,56,0.674,38.005396000000005,-84.986417
MI,Cass County,18169,1253271,1419,72838,1541,96225,122,0.6709999999999999,41.917243,-86.00014200000001
AL,Geneva County,7763,365052,535,22327,587,24270,52,0.67,31.092382,-85.821022
TN,Knox County,162444,13197680,11333,672111,12420,718271,1087,0.669,35.992726,-83.937721
MS,Stone County,5082,254175,387,16948,421,17835,34,0.669,30.790184000000004,-89.112297
TX,Hardin County,18251,1310559,1461,91692,1583,115626,122,0.6679999999999999,30.329648,-94.393178
TX,Martin County,1647,191313,142,12287,153,8563,11,0.6679999999999999,32.30983,-101.961836
NE,Howard County,2400,124888,128,5180,144,7391,16,0.667,41.216851,-98.51334200000001
VA,Grayson County,4956,220241,302,11301,335,11586,33,0.6659999999999999,36.652229,-81.215324
KS,Washington County,2252,116166,80,3404,95,3444,15,0.6659999999999999,39.776714,-97.095611
TN,Scott County,6329,281831,189,6033,231,9461,42,0.664,36.435234,-84.50352
TX,Goliad County,2411,161066,176,9733,192,11355,16,0.664,28.6607,-97.430415
KY,Garrard County,5287,280226,484,21125,519,23616,35,0.662,37.630162,-84.545856
KY,Trigg County,4697,233654,314,14514,345,19969,31,0.66,36.807681,-87.858652
TX,Shackelford County,1060,77663,96,3880,103,4643,7,0.66,32.74382,-99.34700500000001
MA,Barnstable County,100287,8471195,5535,452658,6196,719738,661,0.659,41.799014,-70.21188000000001
PA,Butler County,74803,6506711,3943,286863,4435,347128,492,0.6579999999999999,40.913847,-79.91897800000001
AR,Crawford County,18410,979041,1445,53766,1566,61020,121,0.657,35.583011,-94.23621899999999
WI,Green Lake County,7492,426776,520,23420,569,30692,49,0.654,43.780246999999996,-88.97038
TX,Collingsworth County,922,45022,45,1978,51,2073,6,0.6509999999999999,34.963358,-100.27213499999999
SC,Laurens County,20747,1003070,1438,55748,1573,64663,135,0.6509999999999999,34.483676,-82.005498
OK,Coal County,1541,76390,112,4555,122,4500,10,0.649,34.582861,-96.288039
TX,Delta County,1543,76213,146,5886,156,6883,10,0.648,33.385933,-95.67335
FL,Holmes County,5118,228295,428,15004,461,19636,33,0.645,30.862007000000002,-85.815939
IL,Menard County,4803,348553,329,15717,360,17749,31,0.645,40.022569,-89.794133
GA,Monroe County,8688,675384,774,39207,830,52043,56,0.645,33.017435,-83.922938
MO,Mercer County,1242,47502,41,2064,49,2175,8,0.644,40.421413,-93.567631
AL,Chilton County,13372,713099,782,31426,868,37423,86,0.643,32.854051,-86.726607
ID,Owyhee County,3427,137312,383,13935,405,19528,22,0.642,42.572851,-116.18968999999998
ID,Elmore County,8573,400112,1253,59301,1308,53719,55,0.642,43.394698,-115.471205
KY,Bath County,3585,159146,239,8102,262,9598,23,0.642,38.152249,-83.737641
KY,Marshall County,11055,682537,671,27348,742,33788,71,0.642,36.882017,-88.332752
NE,Valley County,1562,60263,70,2982,80,2083,10,0.64,41.564094,-98.98348399999999
WI,Rusk County,5309,254064,305,11472,339,15202,34,0.64,45.472734,-91.13674499999999
MI,Grand Traverse County,37887,2901462,2763,148289,3005,206260,242,0.639,44.718688,-85.553848
CA,San Joaquin County,244304,16385896,13440,768131,15000,895331,1560,0.639,37.934982,-121.272244
WA,Snohomish County,297851,26359026,22054,1544592,23954,1736697,1900,0.638,48.070464,-121.936784
MO,Webster County,11765,631691,981,38429,1056,45236,75,0.637,37.280803999999996,-92.87608
GA,Camden County,16179,925321,2163,98699,2266,105267,103,0.637,30.913358000000002,-81.64201899999999
TN,Hawkins County,18399,918830,1253,47805,1370,58596,117,0.636,36.452089,-82.931485
TN,Carroll County,8995,440084,622,22200,679,27246,57,0.634,35.965748,-88.45237900000001
VA,Mecklenburg County,10747,544911,622,30807,690,37524,68,0.633,36.687256,-78.368959
MO,Taney County,18346,826502,1862,65510,1978,92762,116,0.632,36.649827,-93.042819
OH,Logan County,17869,1035313,1039,44945,1152,56278,113,0.632,40.387553000000004,-83.766343
MN,Scott County,52792,5670994,4615,346920,4948,354915,333,0.631,44.651804999999996,-93.533731
MN,Crow Wing County,24712,1580842,1638,84283,1794,115102,156,0.631,46.491653,-94.070718
WI,Pepin County,2860,186643,185,8375,203,9231,18,0.629,44.627435999999996,-91.83489
OR,Polk County,26924,1914624,3053,154119,3222,149562,169,0.628,44.900375,-123.398673
IL,Monroe County,13711,1230324,734,58124,820,61008,86,0.627,38.277983,-90.179078
WA,Walla Walla County,20276,1382349,1367,68826,1493,88856,126,0.621,46.254606,-118.48037
MI,Presque Isle County,5160,264303,269,10829,301,15804,32,0.62,45.489515000000004,-83.384019
TX,Smith County,76284,5557527,5513,284065,5985,330219,472,0.619,32.377016,-95.270041
AR,Lonoke County,22623,1430803,2176,103437,2316,101804,140,0.619,34.755114,-91.894132
MN,Pine County,10020,546187,728,30971,790,39059,62,0.619,46.10094,-92.763094
IN,Clay County,9384,511923,646,25509,704,29296,58,0.618,39.393928,-87.115858
AR,Grant County,5670,372460,395,16115,430,18874,35,0.617,34.285568,-92.422979
UT,Millard County,3888,218373,205,10934,229,10134,24,0.617,38.956744,-113.13309199999999
MO,Pulaski County,12645,637122,2492,124108,2570,117851,78,0.617,37.824835,-92.207022
WI,Jackson County,7464,413601,460,20279,506,22773,46,0.616,44.32459,-90.79951
AL,Cullman County,26631,1560602,1326,57170,1490,77215,164,0.616,34.131923,-86.86926700000001
MI,Charlevoix County,10570,750679,767,45128,832,74289,65,0.615,45.513164,-85.45039200000001
WI,Columbia County,23564,1724514,1915,101886,2060,108980,145,0.615,43.471882,-89.330472
TN,Grundy County,4408,186862,248,9762,275,13414,27,0.613,35.393386,-85.710379
NE,Saunders County,7843,602478,595,31876,643,44666,48,0.612,41.223388,-96.64209699999999
KS,Johnson County,223074,25929982,16761,1299257,18127,1191520,1366,0.612,38.883907,-94.82233000000001
MI,Barry County,22409,1561133,1668,84905,1805,105736,137,0.611,42.582811,-85.31455
NH,Sullivan County,17082,1244456,1176,60448,1280,90884,104,0.609,43.361188,-72.222084
NJ,Ocean County,226861,16957981,11215,774957,12595,954469,1380,0.608,39.865669,-74.258864
MD,Cecil County,36332,2621910,2494,149379,2713,141380,219,0.603,39.562354,-75.941585
OK,Grady County,16263,1167816,1375,64779,1473,80317,98,0.603,35.021058000000004,-97.88689000000001
AR,Washington County,73592,5305239,6325,332130,6769,377014,444,0.603,35.978001,-94.21726899999999
FL,Duval County,344842,22418910,26620,1543259,28682,1636159,2062,0.598,30.335245,-81.648113
ME,Cumberland County,121235,10726185,8137,527263,8861,629612,724,0.597,43.808347999999995,-70.330375
OK,Pawnee County,4690,255202,418,16357,446,18469,28,0.597,36.313704,-96.696669
TX,Madison County,3869,222741,270,11311,293,13064,23,0.594,30.966878,-95.93037199999999
CO,Kit Carson County,2541,100401,178,7257,193,9878,15,0.59,39.30534,-102.603023
IN,Clark County,43898,2658733,3443,167010,3702,173444,259,0.59,38.476217,-85.711122
TX,Panola County,7634,475473,478,22943,523,24339,45,0.589,32.163978,-94.30515600000001
NH,Strafford County,48732,3658635,4053,249947,4340,270876,287,0.589,43.293271999999995,-71.035589
TX,Rusk County,15686,936189,1234,52676,1326,66724,92,0.5870000000000001,32.109423,-94.75638199999999
IN,Steuben County,12791,800797,915,45506,990,67187,75,0.586,41.643467,-85.00240500000001
IN,Switzerland County,3254,157453,227,9548,246,11523,19,0.584,38.825854,-85.02968100000001
AL,Marion County,8393,407247,542,19862,591,21494,49,0.584,34.138219,-87.881551
MI,Oceana County,9442,501563,691,32287,746,35602,55,0.583,43.647255,-86.807575
NH,Belknap County,25725,2046114,2076,131642,2226,203653,150,0.583,43.519109,-71.425366
SC,Abbeville County,7563,374968,465,19594,509,20849,44,0.5820000000000001,34.229040999999995,-82.45405799999999
MN,Mille Lacs County,9273,486950,858,40794,912,44033,54,0.5820000000000001,45.929043,-93.63299599999999
MO,Chariton County,2754,141016,125,4936,141,5576,16,0.581,39.517967999999996,-92.96162
TX,Milam County,8090,431278,611,24910,658,32857,47,0.581,30.791241999999997,-96.98439499999999
IA,Adair County,2761,149122,151,5757,167,6431,16,0.58,41.328528000000006,-94.478164
IN,Warrick County,22941,2081618,1741,105982,1874,118067,133,0.58,38.097728000000004,-87.272049
MO,Polk County,9479,484861,805,29238,860,33153,55,0.58,37.616761,-93.400817
KY,Nelson County,17301,1077503,980,45472,1080,48163,100,0.578,37.80312,-85.46593100000001
CA,Del Norte County,7650,405135,533,24141,577,28615,44,0.575,41.763958,-124.00361399999998
ID,Power County,2433,101425,175,7208,189,7106,14,0.575,42.694126000000004,-112.844407
MN,Anoka County,135802,10981539,10887,640364,11667,603814,780,0.574,45.27411,-93.242723
ND,Oliver County,702,48879,42,2755,46,3076,4,0.57,47.118078999999994,-101.33142
IN,Morgan County,26081,1727418,2060,103343,2208,110241,148,0.5670000000000001,39.482646,-86.447457
AR,Johnson County,7603,351662,512,18976,555,20700,43,0.5660000000000001,35.573359,-93.46632199999999
TX,Washington County,12232,850201,822,40875,891,60850,69,0.564,30.215075,-96.41027199999999
GA,Fulton County,373518,44050557,46808,3543949,48914,3813753,2106,0.564,33.790034000000006,-84.468182
MI,Clinton County,28549,2235809,2456,125913,2617,142627,161,0.564,42.950455,-84.591695
NC,Cleveland County,32516,1711981,1876,72256,2059,81015,183,0.563,35.33463,-81.557114
KY,Hart County,5877,246282,343,11079,376,13312,33,0.562,37.309096999999994,-85.88212299999999
ID,Lemhi County,2855,136056,191,6889,207,11612,16,0.56,44.928506,-113.887042
KY,Taylor County,8070,399012,496,20046,541,19773,45,0.5579999999999999,37.366209999999995,-85.328059
WY,Sheridan County,11819,995300,834,45353,900,51367,66,0.5579999999999999,44.781369,-106.88121100000001
TN,Carter County,18013,844519,1321,43189,1421,54932,100,0.555,36.284744,-82.126593
MO,Newton County,18387,1117888,1696,73052,1798,76016,102,0.555,36.908371,-94.335034
TX,Lavaca County,7204,482365,438,20123,478,28882,40,0.555,29.382578000000002,-96.923633
