County,State,Year,Force,Employed,Unemployed,(%)
Pike County,GA,2018,"8,756","8,437",319,3.6
Polk County,GA,2018,"18,522","17,746",776,4.2
Pulaski County,GA,2018,"4,134","3,958",176,4.3
Putnam County,GA,2018,"8,223","7,815",408,5
Quitman County,GA,2018,830,784,46,5.5
Rabun County,GA,2018,"7,092","6,808",284,4
Randolph County,GA,2018,"2,489","2,343",146,5.9
Richmond County,GA,2018,"86,626","82,166","4,460",5.1
Rockdale County,GA,2018,"44,875","42,903","1,972",4.4
Schley County,GA,2018,"2,193","2,091",102,4.7
Screven County,GA,2018,"5,330","5,042",288,5.4
Seminole County,GA,2018,"3,062","2,900",162,5.3
Spalding County,GA,2018,"28,551","27,209","1,342",4.7
Stephens County,GA,2018,"10,964","10,468",496,4.5
Stewart County,GA,2018,"2,352","2,242",110,4.7
Sumter County,GA,2018,"12,782","12,025",757,5.9
Talbot County,GA,2018,"2,835","2,692",143,5
Taliaferro County,GA,2018,585,555,30,5.1
Tattnall County,GA,2018,"9,692","9,285",407,4.2
Taylor County,GA,2018,"2,784","2,602",182,6.5
Telfair County,GA,2018,"4,375","4,078",297,6.8
Terrell County,GA,2018,"3,673","3,432",241,6.6
Thomas County,GA,2018,"16,925","16,127",798,4.7
Tift County,GA,2018,"19,337","18,561",776,4
Toombs County,GA,2018,"11,945","11,251",694,5.8
Towns County,GA,2018,"3,886","3,673",213,5.5
Treutlen County,GA,2018,"2,704","2,547",157,5.8
Troup County,GA,2018,"36,651","35,295","1,356",3.7
Turner County,GA,2018,"3,185","3,023",162,5.1
Twiggs County,GA,2018,"2,925","2,753",172,5.9
Union County,GA,2018,"10,317","9,941",376,3.6
Upson County,GA,2018,"11,376","10,875",501,4.4
Walker County,GA,2018,"31,167","29,961","1,206",3.9
Walton County,GA,2018,"45,262","43,654","1,608",3.6
Ware County,GA,2018,"15,646","15,030",616,3.9
Warren County,GA,2018,"2,748","2,611",137,5
Washington County,GA,2018,"7,157","6,799",358,5
Wayne County,GA,2018,"11,398","10,868",530,4.6
Webster County,GA,2018,"1,001",938,63,6.3
Wheeler County,GA,2018,"1,670","1,547",123,7.4
White County,GA,2018,"16,103","15,612",491,3
Whitfield County,GA,2018,"45,256","43,107","2,149",4.7
Wilcox County,GA,2018,"2,679","2,539",140,5.2
Wilkes County,GA,2018,"3,891","3,713",178,4.6
Wilkinson County,GA,2018,"3,833","3,663",170,4.4
Worth County,GA,2018,"9,182","8,778",404,4.4
Hawaii County,HI,2018,"91,305","88,577","2,728",3
Honolulu County/city,HI,2018,"465,193","454,330","10,863",2.3
Kauai County,HI,2018,"36,100","35,193",907,2.5
Maui County,HI,2018,"86,137","84,028","2,109",2.4
Ada County,ID,2018,"244,525","238,510","6,015",2.5
Adams County,ID,2018,"1,722","1,628",94,5.5
Bannock County,ID,2018,"41,686","40,547","1,139",2.7
Bear Lake County,ID,2018,"2,835","2,753",82,2.9
Benewah County,ID,2018,"4,021","3,835",186,4.6
Bingham County,ID,2018,"23,357","22,724",633,2.7
Blaine County,ID,2018,"12,323","12,032",291,2.4
Boise County,ID,2018,"3,329","3,188",141,4.2
Bonner County,ID,2018,"19,610","18,807",803,4.1
Bonneville County,ID,2018,"55,403","54,077","1,326",2.4
Boundary County,ID,2018,"5,296","5,061",235,4.4
Butte County,ID,2018,"1,382","1,338",44,3.2
Camas County,ID,2018,690,674,16,2.3
Canyon County,ID,2018,"100,275","97,188","3,087",3.1
Caribou County,ID,2018,"3,831","3,723",108,2.8
Cassia County,ID,2018,"11,750","11,488",262,2.2
Clark County,ID,2018,405,393,12,3
Clearwater County,ID,2018,"2,925","2,728",197,6.7
Custer County,ID,2018,"2,190","2,102",88,4
Elmore County,ID,2018,"11,416","11,044",372,3.3
Franklin County,ID,2018,"6,920","6,772",148,2.1
Fremont County,ID,2018,"7,781","7,592",189,2.4
Gem County,ID,2018,"8,141","7,862",279,3.4
Gooding County,ID,2018,"8,105","7,910",195,2.4
Idaho County,ID,2018,"6,426","6,125",301,4.7
Jefferson County,ID,2018,"13,488","13,183",305,2.3
Jerome County,ID,2018,"11,963","11,659",304,2.5
Kootenai County,ID,2018,"77,765","75,065","2,700",3.5
Latah County,ID,2018,"20,267","19,769",498,2.5
Lemhi County,ID,2018,"3,511","3,354",157,4.5
Lewis County,ID,2018,"1,637","1,547",90,5.5
Lincoln County,ID,2018,"2,738","2,646",92,3.4
Madison County,ID,2018,"21,678","21,304",374,1.7
Minidoka County,ID,2018,"11,031","10,753",278,2.5
Nez Perce County,ID,2018,"21,053","20,474",579,2.8
Oneida County,ID,2018,"2,339","2,288",51,2.2
Owyhee County,ID,2018,"5,448","5,252",196,3.6
Payette County,ID,2018,"11,535","11,122",413,3.6
Power County,ID,2018,"4,090","3,972",118,2.9
Shoshone County,ID,2018,"5,068","4,777",291,5.7
Teton County,ID,2018,"6,407","6,263",144,2.2
Twin Falls County,ID,2018,"40,747","39,651","1,096",2.7
Valley County,ID,2018,"5,313","5,113",200,3.8
Washington County,ID,2018,"4,632","4,440",192,4.1
Adams County,IL,2018,"32,893","31,616","1,277",3.9
Alexander County,IL,2018,"2,153","1,982",171,7.9
Bond County,IL,2018,"7,929","7,582",347,4.4
Boone County,IL,2018,"26,473","24,950","1,523",5.8
Brown County,IL,2018,"2,896","2,818",78,2.7
Bureau County,IL,2018,"17,390","16,519",871,5
Calhoun County,IL,2018,"2,340","2,215",125,5.3
Carroll County,IL,2018,"7,525","7,190",335,4.5
Cass County,IL,2018,"6,162","5,885",277,4.5
Champaign County,IL,2018,"105,669","101,016","4,653",4.4
Christian County,IL,2018,"14,837","14,052",785,5.3
Clark County,IL,2018,"7,775","7,373",402,5.2
Clay County,IL,2018,"6,611","6,260",351,5.3
Clinton County,IL,2018,"20,378","19,650",728,3.6
Coles County,IL,2018,"24,195","23,024","1,171",4.8
Cook County,IL,2018,"2,611,512","2,506,103","105,409",4
Crawford County,IL,2018,"8,777","8,307",470,5.4
Cumberland County,IL,2018,"6,080","5,834",246,4
DeKalb County,IL,2018,"55,487","53,047","2,440",4.4
De Witt County,IL,2018,"7,582","7,197",385,5.1
Douglas County,IL,2018,"10,212","9,793",419,4.1
DuPage County,IL,2018,"508,650","492,726","15,924",3.1
Edgar County,IL,2018,"9,200","8,770",430,4.7
Edwards County,IL,2018,"2,779","2,653",126,4.5
Effingham County,IL,2018,"19,119","18,403",716,3.7
Fayette County,IL,2018,"9,810","9,291",519,5.3
Ford County,IL,2018,"6,334","6,029",305,4.8
Franklin County,IL,2018,"17,065","16,016","1,049",6.1
Fulton County,IL,2018,"15,224","14,273",951,6.2
Gallatin County,IL,2018,"2,434","2,294",140,5.8
Greene County,IL,2018,"6,015","5,720",295,4.9
Grundy County,IL,2018,"25,255","24,072","1,183",4.7
Hamilton County,IL,2018,"4,493","4,297",196,4.4
Hancock County,IL,2018,"8,469","8,069",400,4.7
Hardin County,IL,2018,"1,343","1,238",105,7.8
Henderson County,IL,2018,"3,664","3,481",183,5
Henry County,IL,2018,"25,083","23,824","1,259",5
Iroquois County,IL,2018,"14,394","13,749",645,4.5
Jackson County,IL,2018,"28,137","26,847","1,290",4.6
Jasper County,IL,2018,"4,617","4,389",228,4.9
Jefferson County,IL,2018,"17,661","16,723",938,5.3
Jersey County,IL,2018,"11,007","10,473",534,4.9
Jo Daviess County,IL,2018,"10,983","10,501",482,4.4
Johnson County,IL,2018,"4,100","3,780",320,7.8
Kane County,IL,2018,"273,901","260,449","13,452",4.9
Kankakee County,IL,2018,"55,920","52,888","3,032",5.4
Kendall County,IL,2018,"67,661","65,281","2,380",3.5
Knox County,IL,2018,"22,203","21,020","1,183",5.3
Lake County,IL,2018,"378,401","361,302","17,099",4.5
LaSalle County,IL,2018,"56,230","52,968","3,262",5.8
Lawrence County,IL,2018,"5,981","5,629",352,5.9
Lee County,IL,2018,"17,831","17,043",788,4.4
Livingston County,IL,2018,"16,610","15,876",734,4.4
Logan County,IL,2018,"12,852","12,246",606,4.7
McDonough County,IL,2018,"13,359","12,675",684,5.1
McHenry County,IL,2018,"165,849","160,050","5,799",3.5
McLean County,IL,2018,"87,889","84,209","3,680",4.2
Macon County,IL,2018,"49,961","47,166","2,795",5.6
Macoupin County,IL,2018,"23,066","21,934","1,132",4.9
Madison County,IL,2018,"134,575","128,495","6,080",4.5
Marion County,IL,2018,"17,778","16,899",879,4.9
Marshall County,IL,2018,"5,510","5,224",286,5.2
Mason County,IL,2018,"6,318","5,939",379,6
Massac County,IL,2018,"5,748","5,345",403,7
Menard County,IL,2018,"6,689","6,421",268,4
Mercer County,IL,2018,"8,103","7,675",428,5.3
Monroe County,IL,2018,"18,595","17,951",644,3.5
Montgomery County,IL,2018,"11,891","11,185",706,5.9
Morgan County,IL,2018,"16,309","15,590",719,4.4
Moultrie County,IL,2018,"7,524","7,235",289,3.8
Ogle County,IL,2018,"25,289","24,014","1,275",5
Peoria County,IL,2018,"87,398","82,552","4,846",5.5
Perry County,IL,2018,"8,456","7,951",505,6
Piatt County,IL,2018,"8,430","8,067",363,4.3
Pike County,IL,2018,"7,256","6,907",349,4.8
Pope County,IL,2018,"1,751","1,644",107,6.1
Pulaski County,IL,2018,"2,055","1,886",169,8.2
Putnam County,IL,2018,"3,040","2,881",159,5.2
Randolph County,IL,2018,"14,202","13,572",630,4.4
Richland County,IL,2018,"7,455","7,105",350,4.7
Rock Island County,IL,2018,"71,847","68,090","3,757",5.2
St. Clair County,IL,2018,"127,192","120,769","6,423",5
Saline County,IL,2018,"9,879","9,236",643,6.5
Sangamon County,IL,2018,"104,949","100,443","4,506",4.3
Schuyler County,IL,2018,"3,334","3,185",149,4.5
Scott County,IL,2018,"2,481","2,348",133,5.4
Shelby County,IL,2018,"10,725","10,262",463,4.3
Stark County,IL,2018,"2,587","2,424",163,6.3
Stephenson County,IL,2018,"21,904","20,863","1,041",4.8
Tazewell County,IL,2018,"65,386","62,196","3,190",4.9
Union County,IL,2018,"7,423","6,943",480,6.5
Vermilion County,IL,2018,"33,578","31,504","2,074",6.2
Wabash County,IL,2018,"5,728","5,473",255,4.5
Warren County,IL,2018,"8,691","8,324",367,4.2
Washington County,IL,2018,"9,625","9,335",290,3
Wayne County,IL,2018,"6,949","6,563",386,5.6
White County,IL,2018,"6,685","6,397",288,4.3
Whiteside County,IL,2018,"28,466","27,164","1,302",4.6
Will County,IL,2018,"357,226","342,785","14,441",4
Williamson County,IL,2018,"31,873","30,236","1,637",5.1
Winnebago County,IL,2018,"141,196","133,101","8,095",5.7
Woodford County,IL,2018,"19,161","18,379",782,4.1
Adams County,IN,2018,"17,494","17,038",456,2.6
Allen County,IN,2018,"184,863","179,032","5,831",3.2
Bartholomew County,IN,2018,"45,295","44,110","1,185",2.6
Benton County,IN,2018,"4,574","4,427",147,3.2
Blackford County,IN,2018,"5,341","5,135",206,3.9
Boone County,IN,2018,"35,904","34,933",971,2.7
Brown County,IN,2018,"7,659","7,416",243,3.2
Carroll County,IN,2018,"10,264","9,928",336,3.3
Cass County,IN,2018,"18,296","17,620",676,3.7
Clark County,IN,2018,"61,620","59,509","2,111",3.4
Clay County,IN,2018,"12,332","11,850",482,3.9
Clinton County,IN,2018,"17,200","16,715",485,2.8
Crawford County,IN,2018,"4,958","4,736",222,4.5
Daviess County,IN,2018,"16,531","16,084",447,2.7
Dearborn County,IN,2018,"26,132","25,182",950,3.6
Decatur County,IN,2018,"14,967","14,519",448,3
DeKalb County,IN,2018,"22,501","21,865",636,2.8
Delaware County,IN,2018,"54,159","51,986","2,173",4
Dubois County,IN,2018,"23,357","22,777",580,2.5
Elkhart County,IN,2018,"116,267","113,255","3,012",2.6
Fayette County,IN,2018,"9,203","8,776",427,4.6
Floyd County,IN,2018,"41,401","40,026","1,375",3.3
Fountain County,IN,2018,"8,131","7,837",294,3.6
Franklin County,IN,2018,"11,395","10,972",423,3.7
Fulton County,IN,2018,"9,958","9,620",338,3.4
Gibson County,IN,2018,"19,475","18,954",521,2.7
Grant County,IN,2018,"32,239","30,996","1,243",3.9
Greene County,IN,2018,"13,754","13,145",609,4.4
Hamilton County,IN,2018,"181,103","176,224","4,879",2.7
Hancock County,IN,2018,"39,772","38,566","1,206",3
Harrison County,IN,2018,"20,172","19,474",698,3.5
Hendricks County,IN,2018,"88,595","86,041","2,554",2.9
Henry County,IN,2018,"22,475","21,683",792,3.5
Howard County,IN,2018,"37,645","36,116","1,529",4.1
Huntington County,IN,2018,"18,376","17,722",654,3.6
Jackson County,IN,2018,"22,870","22,219",651,2.8
Jasper County,IN,2018,"16,509","15,860",649,3.9
Jay County,IN,2018,"9,843","9,516",327,3.3
Jefferson County,IN,2018,"15,100","14,582",518,3.4
Jennings County,IN,2018,"13,642","13,145",497,3.6
Johnson County,IN,2018,"82,164","79,802","2,362",2.9
Knox County,IN,2018,"18,898","18,283",615,3.3
Kosciusko County,IN,2018,"42,697","41,567","1,130",2.6
LaGrange County,IN,2018,"20,613","20,098",515,2.5
Lake County,IN,2018,"232,368","220,886","11,482",4.9
LaPorte County,IN,2018,"48,027","45,925","2,102",4.4
Lawrence County,IN,2018,"21,152","20,339",813,3.8
Madison County,IN,2018,"59,431","57,126","2,305",3.9
Marion County,IN,2018,"490,706","473,574","17,132",3.5
Marshall County,IN,2018,"23,481","22,735",746,3.2
Martin County,IN,2018,"5,214","5,071",143,2.7
Miami County,IN,2018,"15,892","15,254",638,4
Monroe County,IN,2018,"69,690","67,180","2,510",3.6
Montgomery County,IN,2018,"19,157","18,575",582,3
Morgan County,IN,2018,"36,392","35,160","1,232",3.4
Newton County,IN,2018,"7,117","6,808",309,4.3
Noble County,IN,2018,"23,666","22,972",694,2.9
Ohio County,IN,2018,"3,201","3,089",112,3.5
Orange County,IN,2018,"8,597","8,264",333,3.9
Owen County,IN,2018,"9,350","8,943",407,4.4
Parke County,IN,2018,"7,169","6,883",286,4
Perry County,IN,2018,"9,323","8,979",344,3.7
Pike County,IN,2018,"6,140","5,926",214,3.5
Porter County,IN,2018,"86,770","83,434","3,336",3.8
Posey County,IN,2018,"13,731","13,343",388,2.8
Pulaski County,IN,2018,"6,528","6,324",204,3.1
Putnam County,IN,2018,"16,882","16,245",637,3.8
Randolph County,IN,2018,"11,614","11,160",454,3.9
Ripley County,IN,2018,"14,080","13,573",507,3.6
Rush County,IN,2018,"9,038","8,778",260,2.9
St. Joseph County,IN,2018,"136,728","131,857","4,871",3.6
Scott County,IN,2018,"10,612","10,197",415,3.9
Shelby County,IN,2018,"23,195","22,476",719,3.1
Spencer County,IN,2018,"10,983","10,623",360,3.3
Starke County,IN,2018,"10,484","10,030",454,4.3
Steuben County,IN,2018,"20,351","19,809",542,2.7
Sullivan County,IN,2018,"8,616","8,214",402,4.7
Switzerland County,IN,2018,"5,096","4,898",198,3.9
Tippecanoe County,IN,2018,"97,693","94,612","3,081",3.2
Tipton County,IN,2018,"9,238","8,979",259,2.8
Union County,IN,2018,"3,671","3,556",115,3.1
Vanderburgh County,IN,2018,"95,249","92,211","3,038",3.2
Vermillion County,IN,2018,"7,169","6,774",395,5.5
Vigo County,IN,2018,"49,142","46,989","2,153",4.4
Wabash County,IN,2018,"14,901","14,381",520,3.5
Warren County,IN,2018,"4,219","4,083",136,3.2
Warrick County,IN,2018,"33,148","32,176",972,2.9
Washington County,IN,2018,"13,767","13,282",485,3.5
Wayne County,IN,2018,"31,319","30,193","1,126",3.6
Wells County,IN,2018,"14,396","13,991",405,2.8
White County,IN,2018,"13,639","13,220",419,3.1
Whitley County,IN,2018,"17,645","17,141",504,2.9
Adair County,IA,2018,"4,116","4,018",98,2.4
Adams County,IA,2018,"2,119","2,078",41,1.9
Allamakee County,IA,2018,"7,366","7,140",226,3.1
Appanoose County,IA,2018,"5,856","5,662",194,3.3
Audubon County,IA,2018,"3,116","3,040",76,2.4
Benton County,IA,2018,"13,356","12,995",361,2.7
Black Hawk County,IA,2018,"68,953","67,044","1,909",2.8
Boone County,IA,2018,"14,816","14,499",317,2.1
Bremer County,IA,2018,"13,845","13,564",281,2
Buchanan County,IA,2018,"11,185","10,899",286,2.6
Buena Vista County,IA,2018,"11,349","11,108",241,2.1
Butler County,IA,2018,"7,833","7,618",215,2.7
Calhoun County,IA,2018,"4,290","4,182",108,2.5
Carroll County,IA,2018,"10,811","10,609",202,1.9
Cass County,IA,2018,"7,098","6,908",190,2.7
Cedar County,IA,2018,"10,759","10,499",260,2.4
Cerro Gordo County,IA,2018,"23,298","22,691",607,2.6
Cherokee County,IA,2018,"5,943","5,815",128,2.2
Chickasaw County,IA,2018,"6,407","6,234",173,2.7
Clarke County,IA,2018,"4,801","4,665",136,2.8
Clay County,IA,2018,"8,583","8,310",273,3.2
Clayton County,IA,2018,"10,133","9,812",321,3.2
Clinton County,IA,2018,"22,606","21,878",728,3.2
Crawford County,IA,2018,"8,122","7,846",276,3.4
Dallas County,IA,2018,"47,653","46,835",818,1.7
Davis County,IA,2018,"4,251","4,138",113,2.7
Decatur County,IA,2018,"4,322","4,225",97,2.2
Delaware County,IA,2018,"10,411","10,196",215,2.1
Des Moines County,IA,2018,"19,450","18,816",634,3.3
Dickinson County,IA,2018,"9,865","9,554",311,3.2
Dubuque County,IA,2018,"55,213","53,880","1,333",2.4
Emmet County,IA,2018,"5,292","5,147",145,2.7
Fayette County,IA,2018,"10,572","10,259",313,3
Floyd County,IA,2018,"8,806","8,569",237,2.7
Franklin County,IA,2018,"5,783","5,660",123,2.1
Fremont County,IA,2018,"3,704","3,635",69,1.9
Greene County,IA,2018,"5,400","5,278",122,2.3
Grundy County,IA,2018,"6,544","6,382",162,2.5
Guthrie County,IA,2018,"5,570","5,426",144,2.6
Hamilton County,IA,2018,"6,936","6,749",187,2.7
Hancock County,IA,2018,"5,974","5,836",138,2.3
Hardin County,IA,2018,"8,248","8,013",235,2.8
Harrison County,IA,2018,"7,291","7,130",161,2.2
Henry County,IA,2018,"9,580","9,343",237,2.5
Howard County,IA,2018,"5,180","5,049",131,2.5
Humboldt County,IA,2018,"5,180","5,050",130,2.5
Ida County,IA,2018,"4,091","4,011",80,2
Iowa County,IA,2018,"10,407","10,192",215,2.1
Jackson County,IA,2018,"10,932","10,631",301,2.8
Jasper County,IA,2018,"19,266","18,760",506,2.6
Jefferson County,IA,2018,"9,203","8,984",219,2.4
Johnson County,IA,2018,"85,186","83,551","1,635",1.9
Jones County,IA,2018,"10,484","10,172",312,3
Keokuk County,IA,2018,"5,088","4,941",147,2.9
Kossuth County,IA,2018,"8,514","8,342",172,2
Lee County,IA,2018,"15,996","15,358",638,4
Linn County,IA,2018,"119,524","116,211","3,313",2.8
Louisa County,IA,2018,"6,075","5,916",159,2.6
Lucas County,IA,2018,"4,467","4,378",89,2
Lyon County,IA,2018,"6,949","6,842",107,1.5
Madison County,IA,2018,"8,397","8,132",265,3.2
Mahaska County,IA,2018,"11,695","11,406",289,2.5
Marion County,IA,2018,"17,849","17,486",363,2
Marshall County,IA,2018,"18,008","17,210",798,4.4
Mills County,IA,2018,"7,307","7,156",151,2.1
Mitchell County,IA,2018,"5,732","5,625",107,1.9
Monona County,IA,2018,"4,456","4,333",123,2.8
Monroe County,IA,2018,"3,898","3,784",114,2.9
Montgomery County,IA,2018,"4,923","4,803",120,2.4
Muscatine County,IA,2018,"21,734","21,159",575,2.6
O'Brien County,IA,2018,"8,111","7,950",161,2
Osceola County,IA,2018,"3,512","3,444",68,1.9
Page County,IA,2018,"6,377","6,217",160,2.5
Palo Alto County,IA,2018,"4,895","4,788",107,2.2
Plymouth County,IA,2018,"14,786","14,507",279,1.9
Pocahontas County,IA,2018,"4,311","4,232",79,1.8
Polk County,IA,2018,"264,356","257,650","6,706",2.5
Pottawattamie County,IA,2018,"47,848","46,733","1,115",2.3
Poweshiek County,IA,2018,"10,435","10,193",242,2.3
Ringgold County,IA,2018,"2,524","2,454",70,2.8
Sac County,IA,2018,"5,273","5,148",125,2.4
Scott County,IA,2018,"86,878","84,311","2,567",3
Shelby County,IA,2018,"6,651","6,519",132,2
Sioux County,IA,2018,"20,433","20,069",364,1.8
Story County,IA,2018,"57,756","56,840",916,1.6
Tama County,IA,2018,"9,509","9,228",281,3
Taylor County,IA,2018,"3,227","3,163",64,2
Union County,IA,2018,"6,375","6,149",226,3.5
Van Buren County,IA,2018,"3,666","3,567",99,2.7
Wapello County,IA,2018,"17,604","17,002",602,3.4
Warren County,IA,2018,"27,637","27,007",630,2.3
Washington County,IA,2018,"12,123","11,840",283,2.3
Wayne County,IA,2018,"2,769","2,693",76,2.7
Webster County,IA,2018,"19,109","18,487",622,3.3
Winnebago County,IA,2018,"4,979","4,850",129,2.6
Winneshiek County,IA,2018,"11,775","11,460",315,2.7
Woodbury County,IA,2018,"55,149","53,777","1,372",2.5
Worth County,IA,2018,"4,162","4,049",113,2.7
Wright County,IA,2018,"6,451","6,284",167,2.6
Allen County,KS,2018,"6,313","6,059",254,4
Anderson County,KS,2018,"4,133","3,989",144,3.5
Atchison County,KS,2018,"6,985","6,662",323,4.6
Barber County,KS,2018,"2,396","2,334",62,2.6
Barton County,KS,2018,"13,413","12,970",443,3.3
Bourbon County,KS,2018,"7,120","6,822",298,4.2
Brown County,KS,2018,"5,353","5,190",163,3
Butler County,KS,2018,"31,938","30,833","1,105",3.5
Chase County,KS,2018,"1,484","1,445",39,2.6
Chautauqua County,KS,2018,"1,417","1,360",57,4
Cherokee County,KS,2018,"10,046","9,669",377,3.8
Cheyenne County,KS,2018,"1,313","1,282",31,2.4
Clark County,KS,2018,"1,065","1,039",26,2.4
Clay County,KS,2018,"3,791","3,669",122,3.2
Cloud County,KS,2018,"3,784","3,651",133,3.5
Coffey County,KS,2018,"4,030","3,836",194,4.8
Comanche County,KS,2018,882,860,22,2.5
Cowley County,KS,2018,"16,735","16,161",574,3.4
Crawford County,KS,2018,"18,746","17,996",750,4
Decatur County,KS,2018,"1,251","1,213",38,3
Dickinson County,KS,2018,"9,142","8,821",321,3.5
Doniphan County,KS,2018,"4,181","4,033",148,3.5
Douglas County,KS,2018,"65,199","63,204","1,995",3.1
Edwards County,KS,2018,"1,512","1,475",37,2.4
Elk County,KS,2018,"1,165","1,126",39,3.3
Ellis County,KS,2018,"16,868","16,466",402,2.4
Ellsworth County,KS,2018,"2,722","2,646",76,2.8
Finney County,KS,2018,"20,404","19,890",514,2.5
Ford County,KS,2018,"17,186","16,743",443,2.6
Franklin County,KS,2018,"14,029","13,526",503,3.6
Geary County,KS,2018,"11,492","10,941",551,4.8
Gove County,KS,2018,"1,436","1,405",31,2.2
Graham County,KS,2018,"1,121","1,085",36,3.2
Grant County,KS,2018,"3,340","3,245",95,2.8
Gray County,KS,2018,"3,437","3,369",68,2
Greeley County,KS,2018,855,838,17,2
Greenwood County,KS,2018,"3,205","3,089",116,3.6
Hamilton County,KS,2018,"1,637","1,605",32,2
Harper County,KS,2018,"2,748","2,669",79,2.9
Harvey County,KS,2018,"16,864","16,319",545,3.2
Haskell County,KS,2018,"2,211","2,163",48,2.2
Hodgeman County,KS,2018,991,966,25,2.5
Jackson County,KS,2018,"7,217","7,001",216,3
Jefferson County,KS,2018,"10,167","9,836",331,3.3
Jewell County,KS,2018,"1,287","1,251",36,2.8
Johnson County,KS,2018,"336,677","326,954","9,723",2.9
Kearny County,KS,2018,"2,083","2,034",49,2.4
Kingman County,KS,2018,"3,409","3,299",110,3.2
Kiowa County,KS,2018,"1,306","1,275",31,2.4
Labette County,KS,2018,"10,272","9,862",410,4
Lane County,KS,2018,796,774,22,2.8
Leavenworth County,KS,2018,"36,546","35,216","1,330",3.6
Lincoln County,KS,2018,"1,684","1,642",42,2.5
Linn County,KS,2018,"4,448","4,187",261,5.9
Logan County,KS,2018,"1,670","1,634",36,2.2
Lyon County,KS,2018,"16,617","16,030",587,3.5
McPherson County,KS,2018,"16,312","15,893",419,2.6
Marion County,KS,2018,"6,041","5,853",188,3.1
Marshall County,KS,2018,"5,442","5,299",143,2.6
Meade County,KS,2018,"2,291","2,243",48,2.1
Miami County,KS,2018,"17,469","16,840",629,3.6
Mitchell County,KS,2018,"3,426","3,348",78,2.3
Montgomery County,KS,2018,"14,834","14,194",640,4.3
Morris County,KS,2018,"2,985","2,902",83,2.8
Morton County,KS,2018,"1,169","1,131",38,3.3
Nemaha County,KS,2018,"5,499","5,373",126,2.3
Neosho County,KS,2018,"6,010","5,716",294,4.9
Ness County,KS,2018,"1,329","1,292",37,2.8
Norton County,KS,2018,"2,746","2,687",59,2.1
Osage County,KS,2018,"7,945","7,641",304,3.8
Osborne County,KS,2018,"2,004","1,951",53,2.6
Ottawa County,KS,2018,"3,005","2,918",87,2.9
Pawnee County,KS,2018,"2,940","2,847",93,3.2
Phillips County,KS,2018,"2,800","2,729",71,2.5
Pottawatomie County,KS,2018,"12,278","11,935",343,2.8
Pratt County,KS,2018,"4,952","4,815",137,2.8
Rawlins County,KS,2018,"1,467","1,436",31,2.1
Reno County,KS,2018,"29,916","28,841","1,075",3.6
Republic County,KS,2018,"2,401","2,335",66,2.7
Rice County,KS,2018,"5,287","5,132",155,2.9
Riley County,KS,2018,"35,429","34,407","1,022",2.9
Rooks County,KS,2018,"2,522","2,441",81,3.2
Rush County,KS,2018,"1,660","1,615",45,2.7
Russell County,KS,2018,"3,352","3,252",100,3
Saline County,KS,2018,"30,094","29,170",924,3.1
Scott County,KS,2018,"2,858","2,801",57,2
Sedgwick County,KS,2018,"246,605","237,249","9,356",3.8
Seward County,KS,2018,"9,554","9,239",315,3.3
Shawnee County,KS,2018,"91,125","87,941","3,184",3.5
Sheridan County,KS,2018,"1,398","1,366",32,2.3
Sherman County,KS,2018,"2,894","2,812",82,2.8
Smith County,KS,2018,"1,946","1,897",49,2.5
Stafford County,KS,2018,"1,952","1,899",53,2.7
Stanton County,KS,2018,"1,010",984,26,2.6
Stevens County,KS,2018,"2,655","2,580",75,2.8
Sumner County,KS,2018,"10,784","10,403",381,3.5
Thomas County,KS,2018,"4,230","4,120",110,2.6
Trego County,KS,2018,"1,381","1,337",44,3.2
Wabaunsee County,KS,2018,"3,648","3,533",115,3.2
Wallace County,KS,2018,819,798,21,2.6
Washington County,KS,2018,"2,927","2,847",80,2.7
Wichita County,KS,2018,"1,265","1,237",28,2.2
Wilson County,KS,2018,"4,001","3,825",176,4.4
Woodson County,KS,2018,"1,594","1,525",69,4.3
Wyandotte County,KS,2018,"77,858","74,105","3,753",4.8
Adair County,KY,2018,"7,246","6,879",367,5.1
Allen County,KY,2018,"8,969","8,633",336,3.7
Anderson County,KY,2018,"11,951","11,520",431,3.6
Ballard County,KY,2018,"3,583","3,335",248,6.9
Barren County,KY,2018,"19,141","18,293",848,4.4
Bath County,KY,2018,"4,648","4,335",313,6.7
Bell County,KY,2018,"8,513","7,973",540,6.3
Boone County,KY,2018,"70,741","68,362","2,379",3.4
Bourbon County,KY,2018,"9,704","9,317",387,4
Boyd County,KY,2018,"18,099","17,028","1,071",5.9
Boyle County,KY,2018,"12,612","12,053",559,4.4
Bracken County,KY,2018,"3,851","3,664",187,4.9
Breathitt County,KY,2018,"3,643","3,377",266,7.3
Breckinridge County,KY,2018,"7,990","7,561",429,5.4
Bullitt County,KY,2018,"42,322","40,596","1,726",4.1
Butler County,KY,2018,"5,206","4,953",253,4.9
Caldwell County,KY,2018,"5,419","5,163",256,4.7
Calloway County,KY,2018,"18,864","18,127",737,3.9
Campbell County,KY,2018,"50,530","48,865","1,665",3.3
Carlisle County,KY,2018,"2,311","2,198",113,4.9
Carroll County,KY,2018,"5,270","5,053",217,4.1
Carter County,KY,2018,"9,894","8,982",912,9.2
Casey County,KY,2018,"6,734","6,420",314,4.7
Christian County,KY,2018,"24,853","23,549","1,304",5.2
Clark County,KY,2018,"17,202","16,493",709,4.1
